from_node,to_node,length_m,free_flow_speed_kmh,lanes,capacity,road_name,district,oneway,lanes_imputed,speed_imputed,road_name_missing,district_matched_by
413411798,2522796594,106.313,49.99999999999999,1,1360,公益路二段,南屯區,yes,True,True,False,contains
413411798,2597789626,10.508,50.0,1,1360,大墩路,南屯區,no,True,True,False,contains
663692467,2273314801,10.775,50.0,1,1360,進化北路,北區,yes,True,True,False,contains
663692467,2273314805,89.215,50.0,1,1360,崇德路一段,北區,yes,True,True,False,contains
701938726,2286334524,1448.957,50.0,4,5439,林森路,西區,no,False,False,False,contains
703553377,2286357575,1709.2060000000001,50.00000000000001,4,5439,民權路,西區,no,False,False,False,contains
703553377,10309974995,505.61899999999997,50.0,4,5439,台中路,東區,no,False,False,False,contains
703698045,703553377,438.425,50.00000000000001,1,1360,復興路四段,東區,yes,True,True,False,contains
703698051,1270027397,106.249,50.0,1,1360,自由路二段,中區,no,True,True,False,contains
703698051,1629241738,224.613,50.0,2,2719,成功路,中區,yes,False,True,False,contains
704461088,263152592,296.745,50.0,3,4079,英才路,西區,yes,False,False,False,contains
704461088,704461094,384.07000000000005,50.00000000000001,4,5439,英才路,西區,no,False,False,False,contains
704461094,380038134,461.764,50.00000000000001,4,5439,向上路一段,西區,no,False,True,False,contains
704461094,704461088,384.07000000000005,50.00000000000001,4,5439,英才路,西區,no,False,False,False,contains
704461094,5520565628,460.874,49.99999999999999,4,5439,英才路,西區,no,False,False,False,contains
704461096,410063352,11.016,59.99999999999999,3,4079,文心路二段,西屯區,yes,False,False,False,contains
704461096,2222553883,409.384,50.000000000000014,1,1360,臺灣大道二段,西屯區,yes,True,True,False,contains
704461113,4422167092,88.662,50.00000000000001,1,1360,四川路,西屯區,no,True,True,False,contains
746174293,1184149146,10.344,50.0,1,1360,逢大路,西屯區,no,True,True,False,contains
746174293,2414186999,100.373,50.0,4,5439,河南路二段,西屯區,yes,False,True,False,contains
746174308,2659007865,11.453,50.0,4,5439,東興路三段,南屯區,no,False,True,False,contains
746174308,3683225207,301.584,50.0,4,5439,東興路三段,西區,no,False,True,False,contains
