node_id,latitude,longitude
263152321,24.151687,120.6924832
2957200727,24.1529096,120.6889556
3190269883,24.1546836,120.6862683
2493550216,24.1547083,120.6861608
13336612219,24.1536811,120.6891678
1234819198,24.1642253,120.6462904
3683225207,24.1535883,120.6530231
343353868,24.1640093,120.6692195
2319977808,24.1637974,120.6692112
378725851,24.1668826,120.6512293
1264707084,24.1665523,120.6524269
8122997582,24.1559422,120.6857282
2273314773,24.1559406,120.6856048
2273314779,24.1576351,120.6851058
378731550,24.157636,120.6850051
2225388567,24.1825852,120.6025482
387741401,24.1714966,120.6611925
768592748,24.1675293,120.6731545
2657775918,24.1499384,120.6538748
1263334057,24.1603986,120.6481774
2775522632,24.1604773,120.6480344
2409937539,24.1716628,120.6718218
2409937096,24.1701096,120.6722041
3698691325,24.1669213,120.6732327
768592707,24.1737323,120.6714544
2451467899,24.1738477,120.6738991
3751531028,24.1734552,120.6761348
2440634484,24.1728732,120.6793906
1210476794,24.1703794,120.63218
1193938417,24.1365386,120.6878674
703698045,24.1361143,120.6868612
704461113,24.1619152,120.654634
2320003264,24.1643711,120.6506144
2320003261,24.1642791,120.6507802
4422167092,24.1611382,120.654815
3469522868,24.1606139,120.655879
791389919,24.160356,120.656417
703698051,24.140802,120.682929
1270027397,24.1401079,120.6822094
746174381,24.1590756,120.6559938
746174412,24.1591676,120.6560381
380039432,24.1602088,120.6616662
2285844923,24.1601738,120.6617405
746174341,24.1467203,120.6530175
387741226,24.1658794,120.6520039
1264707114,24.1659858,120.6518091
2493550214,24.1512891,120.6772112
2320046580,24.150279,120.6761709
2285774260,24.1490902,120.674946
380037311,24.1483657,120.6741998
2924917820,24.1481823,120.6740107
3502458873,24.151183,120.6773182
3502458872,24.1513287,120.677331
1270027375,24.1414933,120.6806256
2310876554,24.167789,120.6482485
1019448873,24.1555189,120.6625243
1019448878,24.1555736,120.6625574
1166242282,24.160355,120.6362962
2674338880,24.160507,120.6363374
2597737524,24.1605546,120.6362521
2597737523,24.1604147,120.636186
1167824232,24.1761325,120.6353576
1167823606,24.1743349,120.63513
2796037637,24.1729339,120.6357232
2599103054,24.172441,120.6455096
2852195871,24.1555598,120.6467003
1208283424,24.1563815,120.6438947
1208283411,24.1574535,120.641922
1208283527,24.1575312,120.6417955
1208283405,24.1590069,120.6390589
1208293900,24.1488278,120.6468702
1263334038,24.1488087,120.6466451
1208283497,24.1536957,120.6383661
1263334032,24.1427447,120.6468464
3010403340,24.1546138,120.646703
1210454933,24.1678991,120.6461377
1210454966,24.1638468,120.6502774
3323240001,24.1418685,120.6674769
1264707115,24.1703944,120.6978021
1229056381,24.1694831,120.7060224
3212772158,24.1712743,120.7095803
2078496647,24.1722042,120.7113547
5094365563,24.1479028,120.699352
13358756940,24.1479598,120.7005756
1270027352,24.1432632,120.6785918
2597767457,24.1626298,120.645323
2597767460,24.1627422,120.6452198
1234819346,24.1641899,120.642573
2597739077,24.1575466,120.641994
2597737511,24.1571355,120.6467192
746174308,24.1508761,120.6530209
413411798,24.1508767,120.6498083
2255483095,24.1615856,120.6489984
2225388579,24.1832203,120.6154421
2284346549,24.1415075,120.6821171
1270027354,24.1408168,120.6813973
1234819127,24.1508894,120.6466658
1234819312,24.1507837,120.6466648
5536966026,24.146793,120.646625
2409937179,24.173387,120.6681043
3523162343,24.1733464,120.667781
2409937238,24.1732096,120.6670755
2409694866,24.1726039,120.6641057
5819748699,24.1722123,120.6626977
1264707103,24.1717139,120.6610796
1264707098,24.1704272,120.6977065
2222553885,24.1607432,120.6531465
2222553883,24.1606653,120.653086
2285774370,24.1539633,120.6748152
2285774371,24.1539333,120.6754347
2555091628,24.1475998,120.671988
2320046532,24.1469416,120.6727159
2320046571,24.1468758,120.6727894
2127364299,24.1526832,120.6772301
2283708860,24.1528144,120.6773455
2320046553,24.1483033,120.6742753
2127364247,24.1447545,120.6783608
1634084657,24.1911937,120.6654365
1632701037,24.1804328,120.6820037
2479028923,24.1803975,120.6827183
1696147066,24.1815209,120.6853669
2386180264,24.1817944,120.645034
4195127670,24.1819947,120.6501479
1905096254,24.1703474,120.7140166
2273306426,24.1823723,120.7177919
369670890,24.1822499,120.717786
1296887545,24.1823796,120.7118862
2408395665,24.1644258,120.7141481
3212781967,24.1706058,120.7115572
5042099483,24.18237,120.7107782
5042099482,24.1822621,120.7107312
5262395272,24.1401406,120.6626208
2406512866,24.1400506,120.6626187
3323240005,24.1425805,120.6682159
2320046576,24.1425193,120.6682911
2154860733,24.2013024,120.6709289
11935327603,24.2012857,120.6684201
11935327604,24.201288,120.6683108
2625617410,24.201266,120.6653402
3698691327,24.1669258,120.6733465
3469522839,24.1670718,120.6779611
263151909,24.1981327,120.6566299
2181538093,24.1998107,120.6564951
2181538078,24.1991519,120.6550544
2640718951,24.1995677,120.6556344
2640719106,24.1960841,120.6477448
2640719113,24.1961284,120.6478501
2640719134,24.1978115,120.6519149
2640719132,24.1979328,120.6521929
2181538077,24.1984417,120.6533597
2625594581,24.1985092,120.6535174
2625594518,24.1989739,120.6546288
3433258560,24.1991012,120.6549332
3433258559,24.199135,120.655014
2440630893,24.1726807,120.6816897
2192293380,24.1725366,120.6816716
2501749581,24.1718388,120.6816109
2440639547,24.1711228,120.6815398
1229056405,24.177145,120.7302726
2222505682,24.1384253,120.6856353
1629241738,24.1394069,120.6845297
3282747193,24.1376383,120.6847989
297716895,24.1477,120.6734986
2222522430,24.1476368,120.6735692
1263333967,24.1626583,120.6494986
704461096,24.1625771,120.6496376
2222553768,24.1483572,120.6727777
3683225182,24.162508,120.6493975
1263334034,24.1624306,120.6495407
13021803229,24.1508799,120.6700613
2222553805,24.1532025,120.6669615
2222553894,24.1627366,120.6495514
1019448875,24.1644643,120.6463717
1264707073,24.1628414,120.6496212
3683225171,24.1690419,120.6391775
2249636453,24.1479871,120.6993558
2155791898,24.1819997,120.721515
2273306394,24.1822048,120.7194642
2440630866,24.181939,120.6885397
5374105972,24.1821025,120.689665
2479028988,24.1823314,120.6908392
3324711840,24.1826088,120.6920488
2273306446,24.1827817,120.6926783
3388981056,24.1829321,120.6932719
3390619400,24.1831087,120.6942413
2479029001,24.1831942,120.6950832
4423739243,24.1992567,120.6708929
2273307170,24.1979442,120.6708996
4423739215,24.196681,120.6708997
7509130526,24.1954159,120.6709004
277967597,24.1930863,120.6712541
2273314799,24.1629937,120.685002
2273314792,24.1615601,120.685012
2273314786,24.1602713,120.685007
957911268,24.1590462,120.6850011
3190269879,24.1547815,120.6862388
3285467668,24.1512561,120.6704862
2222553812,24.1538167,120.6655587
2222553813,24.153876,120.6656336
2320066233,24.1556964,120.6815316
2285774321,24.1522031,120.6733001
2285774335,24.1530585,120.6732832
2285774382,24.1539563,120.6736385
2285774310,24.1515747,120.6729346
2285774320,24.1522021,120.6730302
2285774309,24.1515761,120.6725556
1270027356,24.1557259,120.6705019
2285774258,24.1490206,120.6750533
5643749594,24.1572295,120.6736333
4422881983,24.1572309,120.6744014
2285774511,24.1572333,120.6757801
2285774575,24.1592153,120.6662564
2285774590,24.1620605,120.6641565
2319986975,24.1491671,120.6736065
2440634456,24.1631512,120.6765419
701938726,24.1317673,120.6766602
263152657,24.1530623,120.6668081
297717106,24.1531404,120.6668931
2286334586,24.1526179,120.666332
2286357575,24.1454313,120.6712867
3001732569,24.1454928,120.6712144
703553377,24.1344737,120.6829326
2310876549,24.1644509,120.660393
1263333961,24.1594367,120.6473677
2319977889,24.165152,120.6721818
2319977877,24.1644417,120.670529
2319977843,24.1642361,120.6705275
343353860,24.1629447,120.6679379
1215998836,24.1628385,120.6679705
2641897013,24.1649089,120.6721757
2285844975,24.1629407,120.6680897
2320003290,24.1985683,120.6523695
2285774454,24.1557252,120.6753708
2494655713,24.1509348,120.6754229
2222522424,24.1473636,120.6738736
3001732576,24.1479073,120.6738483
3001732574,24.1472413,120.6731572
2320046536,24.1565332,120.6592584
1229056176,24.1758374,120.7191951
5411985854,24.1997131,120.655683
2625617400,24.2007278,120.6653439
4422745683,24.2007139,120.6683126
4423739256,24.2007179,120.6684284
2154860686,24.2007228,120.6709297
2222553858,24.1572306,120.6598327
791401855,24.1591263,120.661062
2222553856,24.1571746,120.6596665
2222553854,24.1571035,120.6596213
2222553852,24.1569916,120.6595501
2285774550,24.1582547,120.6760565
2384401272,24.165198,120.6755507
5645685000,24.1628369,120.6661086
